app,country,upappid,upappcountry
10269148,United States of America,242101,United Kingdom
10269148,United States of America,10267158,United Kingdom
572803,United States of America,242344,United States of America
572803,United States of America,237478,United Kingdom
572803,United States of America,11244915,United Kingdom
8684394,Poland,10390944,United Kingdom
10897069,United Kingdom,237487,United Kingdom
10897069,United Kingdom,1625663,United Kingdom
877118,United Kingdom,241857,United Kingdom
877118,United Kingdom,237479,United Kingdom
